query,description,narrative,qid
american civil war,Find any information on the american civil war from 1861 to 1865,"This topic attempts to find information on the conflict between the Union and the Confederacy during 1861 and 1865, in the United States. Any information about the origin, duration, location and important events and people during this conflict are relevant. 

Any information about a different time period or event is irrelevant. Especially information about a different civil war is irrelevant.",1
white shoes cleaning,Find information on how to clean white shoes and how to maintain them.,"This topic aims to search for information on how to clean white shoes and possibly how to maintain them properly and avoid getting them dirty. This topic does not aim to find any non-cleaning related information, such as shopping for ""clean white shoes"". For cleaning-related information, it should specifically contain information about how to clean and maintain white shoes.",2
split ergo keyboard,"The user wants to know about split ergonomic keyboards, descriptions on what they are and where you might buy them","The relevant documents would describe details about split keyboards, not just ergonomic keyboards. There exists keyboards that are labeled ergonomic but that are in one piece, which should not be relevant.",3
metoo Hollywood,"The metoo movement and aftermath, specifically in Hollywood.","Relevant documents should contain information about how the metoo movement impacts Hollywood, could be a retrospective view, case study, opinion from an industry star etc. If the document does not mention Hollywood or filmmaking, it is not considered relevant. If the document is focused on Hollywood culture and only mentions metoo briefly, that too is not enough to make the document relevant.",4
Safest vehicles,"Examples of the safest or safe vehicles to drive according to today’s safety mechanisms(sensors, car body etc)
","This topic aims to find a list of cars(more specifically) that correspond with the highest standards of safety of today’s world. A vehicle shall be classified as safe if passes a series of tests (front/lateral impact) certified by a known entity (EURO NCAP or the car manufacturer for instance) recognized abroad. We want to see examples of safe cars according to various tests or procedures rather than mentions about other vehicles(trains or trucks) ,laws that aim to increase the safety of roads or vehicles or safety procedures to take when accidents happen somewhere in the world.
",5
Nautical mile,"A nautical mile is 1.852 km. It is used in sea (space and air) fairing for determining the distance. Nautical maps that use a mercator projection can have their degrees (360 of them) subdivided into meridian minutes which is exactly the length of one meridian minute. Additionally the unit of speed that is used for air-, space- and seacraft is knots, which is 1.852 km/h or exactly one nautical mile per hour. It is therefore a very convenient unit.","In the most basic form, someone should be informed of what it is, namely a distance. Ideally some function of the unit could also come in handy.",6
gastritis symptoms,I want to know more about what symptoms are linked to gastritis,"Relevant documents would be documents that mention and list the symptoms patients with gastritis would have. Irrelevant documents are primarily documents that do not have any list of symptoms, so they could include a lot of information about gastritis, what could cause gastritis. But, if it never mentions the symptoms than it is not relevant.",7
What is privacy by design(PbD)?,A description of privacy by design(PbD),The Privacy by Design (PbD) is a framework that includes privacy as a fundamental part of new system or technology designs. PbD transforms privacy from an add-on to its own design principle. The goal is to establish data protection as an embedded feature of systems and processes at each level. The document must describe what PbD is; just using the framework is not enough.,8
biggest church milan,"The information needed is the name of the biggest (in total size) church in Milan, Italy.","Relevant documents would be ones that list the name of the church and the fact that it is the largest church in Milan. Irrelevant documents would be documents nt mentioning the size, talking about a different Milan or instead looking for the biggest church denomination e.g. catholicism.",9
best networking methods,Find methods to build and/or expand your social and professional network.,"This topic attempts to find methods to build and/or expand my social and professional network. With network, we mean human connections and not the technical meaning of networks. With professional network, we mean a network of humans that you may or may not conduct a certain kind of business with in the future or benefit each other in a certain way; we don't mean a state of the art wired or wireless network. Documents that explain ways to meet, connect and reach more humans are relevant. Using social media can be a technical method to reach more humans, so documents that mention this are relevant.",10
allergy friendly cats,A list of cats that are good choices for people who are allergic to cats.,"Relevant documents are documents which contain races of cats which are suitable for people who are allergic to cat. Irrelevant documents are documents which are related to cats in general, but do not specifically state which races of cats trigger less allergic reactions. ",11
Hiphop dance competitions,Find dance competitions with hip-hop as an element.,"This topic attempts to find dance competitions where one of the styles of dance is hip-hop. The document should mention the competition name, where it is held, and on what date it is or was held. ",12
Impact of Exercise on Depression,How physical activity influences depressive symptoms.,Relevant documents should include studies or reviews linking regular exercise to reduced depression. Irrelevant documents are those about physical fitness benefits without psychological outcomes.,13
LeBron James GOAT debate,Discussions about whether LeBron James should be considered the greatest basketball player of all time(GOAT),"Relevant documents provide arguments, comparisons, or analyses regarding LeBron James in the context of the ""GOAT"" (Greatest of All Time) debate. This can include comparisons with other players regarded highly for their accomplishments in NBA like Michael Jordan, etc., as well as statistical breakdowns, career achievements, and expert or fan opinions. Articles that only mention LeBron James without addressing his standing in the GOAT conversation, but only discussing the GOAT debate or articles mentioning James without the mention of him as GOAT are not relevant.",14
Autonomous car ethics in unavoidable accidents,"Looking for information on ethical framework in unavoidable accident scenario of a car.
","A relevant documents should include the pre programmed ethical choice of the vehicle. The documents that talk about the trolley problem. Also the documents that talk about hoe the vehicle should respond in this case like protect the occupant of the vehicle over the other person or stay neutral in that calculation.
A irrelevant document is one that talk about the emergency brake or other fail safe mechanism that are used because we are way past all this scenarios. Also irrelevant are the ones that talk about past incidents that already happened. 
",15
mahler sixth symphony concert 2025,Find information about concerts in 2025 featuring Symphony no. 6 by Gustav Mahler.,"The relevant documents are those detailing (potentially among others) a concert where an orchestra plays Mahler's Symphony no. 6 in 2025. As such, concerts from earlier, or featuring a different symphony, or a CD recording are all not relevant.",16
Lung Cancer,"The information need concerns reliable and comprehensive information about lung cancer, including its causes, risk factors, symptoms, diagnosis, treatment options, stages, prognosis, and ongoing research developments.","Relevant documents should provide clear, medically accurate, and detailed information specifically about lung cancer. This includes explanations of what lung cancer is, its biological basis, types, epidemiology, risk factors such as smoking and environmental exposure, clinical symptoms, diagnostic procedures and treatment strategies. Information about patient care, survival rates, prevention strategies, and research on new therapies or early detection methods is also relevant.",17
Climate change effects on agriculture,"I want to find information about how climate change impacts agriculture, including crop yields, farming practices, and food security.","Relevant documents should discuss the consequences of climate change for agriculture, such as changes in rainfall, soil fertility, or pest outbreaks. Studies on adaptation strategies, such as irrigation techniques or drought-resistant crops, are also relevant. Documents that only explain general climate change without any connection to agriculture are not relevant. Similarly, sources about unrelated agricultural topics without linking to climate change are not relevant.",18
Nuclear energy France,Must contain information about nuclear energy in France or some matter about nuclear energy involving the French goverment.,"Relevant documents should be about nuclear energy and involve France in a prominent way. If the document is only about nuclear weapons this is not sufficient as it needs to contain information about nuclear energy specifically. Also if the document mentions France in passing but doesn't provide specific information about France's involvement in the issue it is not considered relevant. It does not need to be about domestic production specifically however, a document about an international decision or research program should be considered relevant if France is key for the development.",19
History of urban rooftop gardening in European cities,"Looking for documents that describe how rooftop gardening has been implemented and developed in European cities, with emphasis on historical context and examples.","Relevant documents should describe rooftop gardening practices specifically in European cities, focusing on their history, adoption, and development over time. This includes academic papers, city planning reports, or detailed news articles that mention when and why rooftop gardens began, examples of notable cities that encouraged them, and policy or cultural motivations behind the practice. General discussions about gardening, green spaces, or agriculture that do not specifically reference rooftops or Europe are not relevant. Similarly, articles about rooftop gardening in non-European contexts, or documents that only mention rooftop gardening without historical detail, should be considered irrelevant.",20
Gartner hype cycle,"The user wants to understand the Gartner hype cycle. The information need includes its meaning, history, significance and examples. The user is not looking for very specific and detailed information, just a general understanding of this concept and its use.","
Relevant documents include information on any of these fields, such as descriptions of it (what is it, what are it's phases), how it is used and why (how companies use it, examples of the cycle for specif technologies), its history (the Gartner company, and how it continues to be developed today). The first too would have the highest relevancy level. The last (history) may be classified as only partially relevant if it does not include information about the cycle in general.

Examples of irrelevant documents can include other products by Gartner.
",21
easiest filament 3d printing,"Find out what plastic, or filament, is the easiest to start with when getting into 3d printing",A document is relevant if it mentions something along the lines of: PLA is the most common or easiest to start printing with.,22
excel sum cells,"Find a simple explanation on how to sum a range of cells in Microsoft Excel, for someone who isn't familiar with the program.",Any document clearly explaining how to calculate simply the sum of a range of cells in Excel is relevant. Any document only explaining more complicated topics while presuming familiarity with the SUM function is irrelevant.,23
Iceland nature,Find information about the nature that exists in the country Iceland.,"This topic attempts to find information about the various types of nature that exists in the country Iceland. This can be any information concerning geographical locations that are outside urban areas. It can also describe the important landmarks or remarkable features that Iceland has. 

Documents that describe Icelands climate or weather are not relevant. Nature that is not within Iceland is irrelevant.",24
Oasis famous songs,I would like to know the most famous / popular songs made by the Britpop band Oasis.,"Relevant documents would be about famous songs written or performed by the band Oasis.
Not relevant documents would for example be about different bands or docs not specifically about oasis songs.",25
